classifier, best_representing_words_list, counter_vector, not_count, parts_of_speech, polarity_count, polarity_vocabulary, remove_stop_words, surrounding_words, text_to_vector_uni_vocabulary, tf_idf_vector, uni_gram, total_accuracy, 0_accuracy, 1_accuracy, 3_accuracy
SVC_linear_C0,1,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 31.3725490196, 17.6470588235, 44.1176470588, 32.3529411765
SVC_linear_C10_Gamma0,01,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 36.2745098039, 26.4705882353, 44.1176470588, 38.2352941176
Decision_tree_maxdepth6,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 30.3921568627, 32.3529411765, 44.1176470588, 14.7058823529
SVC_linear_C10,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 69.6078431373, 85.2941176471, 70.5882352941, 52.9411764706
GaussianNB,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 66.6666666667, 79.4117647059, 70.5882352941, 50.0
SVC_linear,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 69.6078431373, 85.2941176471, 70.5882352941, 52.9411764706
Decision_tree,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 59.8039215686, 79.4117647059, 61.7647058824, 38.2352941176
SVC_linear_C0,1,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 65.6862745098, 79.4117647059, 58.8235294118, 58.8235294118
SVC_linear_C10_Gamma0,01,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 69.6078431373, 85.2941176471, 70.5882352941, 52.9411764706
Decision_tree_maxdepth6,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 59.8039215686, 79.4117647059, 55.8823529412, 44.1176470588
SVC_linear_C10,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 57.8431372549, 79.4117647059, 47.0588235294, 47.0588235294
GaussianNB,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 53.9215686275, 88.2352941176, 35.2941176471, 38.2352941176
SVC_linear,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 58.8235294118, 79.4117647059, 47.0588235294, 50.0
Decision_tree,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 57.8431372549, 91.1764705882, 47.0588235294, 35.2941176471
SVC_linear_C0,1,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 60.7843137255, 79.4117647059, 44.1176470588, 58.8235294118
SVC_linear_C10_Gamma0,01,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 57.8431372549, 79.4117647059, 47.0588235294, 47.0588235294
Decision_tree_maxdepth6,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 55.8823529412, 82.3529411765, 55.8823529412, 29.4117647059
SVC_linear_C10,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 69.6078431373, 85.2941176471, 70.5882352941, 52.9411764706
GaussianNB,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 66.6666666667, 79.4117647059, 67.6470588235, 52.9411764706
SVC_linear,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 69.6078431373, 85.2941176471, 70.5882352941, 52.9411764706
Decision_tree,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 61.7647058824, 79.4117647059, 64.7058823529, 41.1764705882
SVC_linear_C0,1,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 65.6862745098, 79.4117647059, 58.8235294118, 58.8235294118
SVC_linear_C10_Gamma0,01,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 69.6078431373, 85.2941176471, 70.5882352941, 52.9411764706
Decision_tree_maxdepth6,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 59.8039215686, 79.4117647059, 58.8235294118, 41.1764705882
SVC_linear_C10,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 57.8431372549, 79.4117647059, 47.0588235294, 47.0588235294
GaussianNB,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 53.9215686275, 88.2352941176, 35.2941176471, 38.2352941176
SVC_linear,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 58.8235294118, 79.4117647059, 47.0588235294, 50.0
Decision_tree,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 56.862745098, 85.2941176471, 50.0, 35.2941176471
SVC_linear_C0,1,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 60.7843137255, 79.4117647059, 44.1176470588, 58.8235294118
SVC_linear_C10_Gamma0,01,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 57.8431372549, 79.4117647059, 47.0588235294, 47.0588235294
Decision_tree_maxdepth6,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 59.8039215686, 82.3529411765, 67.6470588235, 29.4117647059
SVC_linear_C10,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 50.9803921569, 55.8823529412, 55.8823529412, 41.1764705882
GaussianNB,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 50.9803921569, 67.6470588235, 41.1764705882, 44.1176470588
SVC_linear,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 50.9803921569, 55.8823529412, 55.8823529412, 41.1764705882
Decision_tree,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 51.9607843137, 64.7058823529, 52.9411764706, 38.2352941176
SVC_linear_C0,1,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 50.9803921569, 55.8823529412, 55.8823529412, 41.1764705882
SVC_linear_C10_Gamma0,01,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 50.9803921569, 55.8823529412, 55.8823529412, 41.1764705882
Decision_tree_maxdepth6,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 56.862745098, 67.6470588235, 55.8823529412, 47.0588235294
SVC_linear_C10,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 36.2745098039, 26.4705882353, 44.1176470588, 38.2352941176
GaussianNB,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 32.3529411765, 20.5882352941, 58.8235294118, 17.6470588235
SVC_linear,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 36.2745098039, 23.5294117647, 44.1176470588, 41.1764705882
Decision_tree,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 32.3529411765, 38.2352941176, 38.2352941176, 20.5882352941
SVC_linear_C0,1,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 31.3725490196, 17.6470588235, 47.0588235294, 29.4117647059
SVC_linear_C10_Gamma0,01,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 36.2745098039, 26.4705882353, 44.1176470588, 38.2352941176
Decision_tree_maxdepth6,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 31.3725490196, 35.2941176471, 50.0, 8.82352941176
SVC_linear_C10,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 50.9803921569, 55.8823529412, 55.8823529412, 41.1764705882
GaussianNB,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 47.0588235294, 61.7647058824, 41.1764705882, 38.2352941176
SVC_linear,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 50.9803921569, 55.8823529412, 55.8823529412, 41.1764705882
Decision_tree,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 55.8823529412, 64.7058823529, 55.8823529412, 47.0588235294
SVC_linear_C0,1,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 50.9803921569, 55.8823529412, 55.8823529412, 41.1764705882
SVC_linear_C10_Gamma0,01,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 50.9803921569, 55.8823529412, 55.8823529412, 41.1764705882
Decision_tree_maxdepth6,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 51.9607843137, 67.6470588235, 50.0, 38.2352941176
SVC_linear_C10,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 36.2745098039, 26.4705882353, 44.1176470588, 38.2352941176
GaussianNB,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 32.3529411765, 20.5882352941, 58.8235294118, 17.6470588235
SVC_linear,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 36.2745098039, 23.5294117647, 44.1176470588, 41.1764705882
Decision_tree,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 32.3529411765, 35.2941176471, 38.2352941176, 23.5294117647
SVC_linear_C0,1,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 31.3725490196, 17.6470588235, 47.0588235294, 29.4117647059
SVC_linear_C10_Gamma0,01,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, False, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 36.2745098039, 26.4705882353, 44.1176470588, 38.2352941176
